Mercados y Plazas Comerciales,,,,,,,,
Unidad,Nombre Unidad,Zona Coplademun,Nombre,Ubicación,Tipo,Descripción Tipo,Clase,Descripción Clase
242,Mezquitán,2B,Sin nombre,Calle San Miguel (locales en construcción),3,Plaza Comercial,2,Privado
243,Miguel de la Madrid,8,Mercado S/N,Nicolas Bravo,1,Mercado,1,Público
244,Miguel Hidalgo,2B,-Inexistente-,,99,NINGUNO,99,NINGUNO
245,Milpillas Mesa de San Juan,RS,Inexistente,,99,NINGUNO,99,NINGUNO
248,Mirador del Sol,6,Plaza Los Alamillos,Tepeyac Nº 5005,2,Centro Comercial,2,Privado
248,Mirador del Sol,6,PlazaTepeyac,"Av. Tepeyac Nº 1150, 35877595, 36288842, Administrador Silvia Estela Soto Esparza.",2,Centro Comercial,2,Privado
249,Mirador Escondido,2B,-Inexistente-,,99,NINGUNO,99,NINGUNO
250,Miramar,7,- Inexistente -,,99,NINGUNO,99,NINGUNO
251,Misión Jardines,4,Inexistente,,99,NINGUNO,99,NINGUNO
252,Misión de San Isidro (ó Misión del Bosque),3,Mercado (puestos comerciales),Av. Río Blanco y Paseo de las Aves.,1,Mercado,1,Público
254,Molino del Salvador,2B,Sin nombre,Av. Imperio,3,Plaza Comercial,2,Privado
255,Nextipac,RS,- Inexistente -,,99,NINGUNO,99,NINGUNO
257,Nueva España,2B,-Inexistente-,,99,NINGUNO,99,NINGUNO
258,Nueva Primavera (ó Colli Nueva Primavera),6,- Inexistente -,,99,NINGUNO,99,NINGUNO
260,Nuevo Vergel,2A,-Inexistente-,,99,NINGUNO,99,NINGUNO
261,Palmira,8,Locales comerciales,"Bahías de Huatulco No. 2034, esq. Miguel Alemán",3,Plaza Comercial,2,Privado
262,"Palmita, La",1B,Obreros de Cananea,Manuel Rojas Nº 3640,1,Mercado,1,Público
263,Palo Gordo,RS,- Inexistente -,,99,NINGUNO,99,NINGUNO
266,Paraísos del Colli,7,Inexistente,,99,NINGUNO,99,NINGUNO
267,Paraíso Los Pinos,8,Inexistente,,99,NINGUNO,99,NINGUNO
268,Parque Industrial Belenes Norte,1A,Plaza Belenes,Av. Laureles y F. Iranguren,3,Plaza Comercial,2,Privado
269,Parques de la Castellana,5B,Inexistente,,99,NINGUNO,99,NINGUNO
270,Parque Regency,5B,Inexistente,,99,NINGUNO,99,NINGUNO
271,Parques de Tesistán,RS,Sin nombre,San Mateo y Fray Domingo Juncosa,3,Plaza Comercial,2,Privado
273,Parques del Auditorio,2A,-Inexistente-,,99,NINGUNO,99,NINGUNO
274,Paseos del Briseño,8,- Inexistente -,,99,NINGUNO,99,NINGUNO
275,Paseos del Sol ,6,Plaza Comercial s/nombre,"Ladrón de Guevara y Susana Gómez, 1ra. sección",3,Plaza Comercial,,Desconocido
275,Paseos del Sol ,6,Plaza Comercial s/nombre,"E. Ladrón de Guevara y Tómas Balcazar, 1 ra. Sección",3,Plaza Comercial,,Desconocido
275,Paseos del Sol ,6,Plaza Comercial s/nombre,E. Ladrón de Guevara y Martha Dueñas,3,Plaza Comercial,,Desconocido
275,Paseos del Sol ,6,Plaza Comercial del Sol,Souza Araceli Nº 5608,3,Plaza Comercial,1,Público
277,Paso de Guadalupe (ó El Morado),RN,Inexistente,,99,NINGUNO,99,NINGUNO
282,Pedregal de Zapopan,2B,-Inexistente-,,99,NINGUNO,99,NINGUNO
283,Pedro Moreno,1B,Obreros de Cananea,"Luis Manuel Rojas, entre Priv. Enrique Colunga y Santiago González.",1,Mercado,1,Público
283,Pedro Moreno,1B,Las Palmitas,Rafael Vega Sánchez y José Antonio Torres,3,Plaza Comercial,2,Privado
285,Pinar de la Calma,6,Inexistente,,99,NINGUNO,99,NINGUNO
287,"Pinos Campestre, Los",8,Inexistente,,99,NINGUNO,99,NINGUNO
289,Pirámides,6,Inexistente,,99,NINGUNO,99,NINGUNO
291,Praderas de San Antonio,4,- Inexistente -,,99,NINGUNO,99,NINGUNO
293,Prados de Santa Lucia ,RS,Ninguno,,99,NINGUNO,99,NINGUNO
295,Prados Tepeyac,6,"Comercial ""Xochitl""",Xochitl N° 4646 y Prados de los Lirios ,3,Plaza Comercial,2,Privado
295,Prados Tepeyac,6,Plaza Prados Inn,Xochitl y Prados Laureles,3,Plaza Comercial,2,Privado
297,"Primavera, La",RS,Plaza Comercial Payan,Javier Mina y Pedro Moreno,3,Plaza Comercial,2,Privado
298,Primavera Norte,6,- Inexistente -,,99,NINGUNO,99,NINGUNO
