Infraestructura Deportiva,,,,,,,,,
Unidad,Nombre Unidad,Zona Coplademun,Espacio Deportivo,Administrado por,Domicilio,Tipo,Descripción Tipo,Clase,Descripción Clase
175,Ixcatán Poblado,RN,Cancha de basquetbol,Comunidad,Entre Morelos y Vicente Guerrero,2,Cancha Individual,1,Público
178,Jardines de San Ignacio,5A,Inexistente,,,99,NINGUNO,99,NINGUNO
179,Jardín de Vallarta,5A,Casa Club,Colonos,Cto. Vallarta e Inglaterra,3,Club Deportivo,2,Privado
180,Jardines Tapatíos,7,- Inexistente -,,,99,NINGUNO,99,NINGUNO
182,Jardines del Ixtépete,8,Plaza,,Tlalpan y J. López Portillo,2,Cancha Individual,1,Público
185,Jardines de Guadalupe,5A,Inexistente,,,99,NINGUNO,99,NINGUNO
186,Jardines de la Esperanza,2A,Inexistente,,,99,NINGUNO,99,NINGUNO
187,Jardines de la Patria,5B,"Club de la Colina, A.C.",,William Shakespeare Nº 5280 (esq. Inglaterra); tel.33437323/35874747,1,Unidad Deportiva,2,Privado
189,Jardines de los Belenes,2B,-Inexistente-,,,99,NINGUNO,99,NINGUNO
191,Jardines de Nuevo México,4,Unidad Deportiva,Consejo,"Quinta Norte esq. Tercera Poniente, Calle Vicente Guerrero 3ra y 4ta Norte",1,Unidad Deportiva,1,Público
191,Jardines de Nuevo México,4,Cancha,Consejo,"Decima Oriente, Esq. Profesora Idolina Gaona (Junto al Módulo de Seguridad Pública)",2,Cancha Individual,1,Público
194,Jardines de Tabachines,2A,-Inexistente-,,,99,NINGUNO,99,NINGUNO
195,Jardines del Auditorio,2A,Cancha,Consejo,Mariano Bárcenas y Luis Quintero,2,Cancha Individual,1,Público
196,Jardines del Porvenir,2A,-Inexistente-,,,99,NINGUNO,99,NINGUNO
197,Jardines del Sol,6,Inexistente,,,99,NINGUNO,99,NINGUNO
198,Jardines del Valle,4,Cancha de fut bol,,Valle Volga y del nilo,2,Cancha Individual,1,Público
198,Jardines del Valle,4,Cancha Tenis,,Valle Yucas y valle crotos,2,Cancha Individual,2,Privado
199,Jardines del Vergel ,2A,Cancha de Fútbol Rápido,Consejo,Jardines de las Palmas,2,Cancha Individual,1,Público
203,Jocotán,5A,Club deportivo Guadalajara,Particulares,"Francisco I. Madero 500, esq. Aldama",3,Club Deportivo,2,Privado
205,Juan Manuel Vallarta,7,Cancha de Básquetbol,,"Géminis, frente al Templo",2,Cancha Individual,1,Público
206,Lagos del Country,1B,Unidad Deportiva,Consejo,,1,Unidad Deportiva,1,Público
206,Lagos del Country,1B,Unidad Deportiva,Consejo,Cerrada Laguna de Teminos,1,Unidad Deportiva,1,Público
209,Loma Bonita,6,"Liga de Beis bol    ""Legión Americana""",,Montemorelos y Juan Gil Preciado,2,Cancha Individual,2,Privado
210,Loma Bonita Ejidal,6,Cancha de Basquet Bol,Vecinos,Av. Tabachines y Rio Tequila (Módulo de la Asociación Vecinal),2,Cancha Individual,1,Público
210,Loma Bonita Ejidal,6,Cancha de Fut Bol,,Av. Tabachines y Encino,2,Cancha Individual,1,Público
211,Loma Bonita Residencial,6,Inexistente,,,99,NINGUNO,99,NINGUNO
212,Loma Bonita Sur,6,Inexistente,,,99,NINGUNO,99,NINGUNO
213,Loma Real,5B,Cancha de fut bol,Colonos,Paseo del Acentilado,2,Cancha Individual,1,Público
214,"Loma, La",1B,Inexistente,,,99,NINGUNO,99,NINGUNO
215,Lomas Altas,5B,Inexistentes,,,99,NINGUNO,99,NINGUNO
216,Lomas de Atemajac,1B,-Inexistente-,,,99,NINGUNO,99,NINGUNO
217,Lomas de Guadalupe,5A,Inexistente,,,99,NINGUNO,99,NINGUNO
218,Lomas de la Primavera,7,Unidad deportiva,,Flor de Jamaica,1,Unidad Deportiva,1,Público
218,Lomas de la Primavera,7,Cancha,Consejo,Nochebuena esquina Miguel,2,Cancha Individual,1,Público
220,Lomas de Tabachines ,2A,-Inexistente-,,,99,NINGUNO,99,NINGUNO
221,Lomas de Zapopan,3,Unidad Deportiva,Consejo,Cerrada Tavalera (A espaldas de la lechera Sello Rojo),1,Unidad Deportiva,1,Público
221,Lomas de Zapopan,3,Cancha,,Av. De la Mancha entre Valdepeñas y Marbella (A un costado del Mercado),2,Cancha Individual,1,Público
222,Lomas del Batán,1B,Cancha de Basquetbol y Voleibol,Delegado,Hidalgo No. 10 (Delegación Atemajac),2,Cancha Individual,1,Público
223,Lomas del Bosque,1A,Club Atlas Colomos A.C.,,Paseo Atlas Colomos Nº 2000; tel. 36480120; de martes a domingo de 05:00 a 21:00 hrs.,1,Unidad Deportiva,2,Privado
224,Lomas del Camino,1B,-Inexistente-,,,99,NINGUNO,99,NINGUNO
225,Lomas del Centinela,2A,-Inexistente-,,,99,NINGUNO,99,NINGUNO
226,Lomas del Colli ,5A,- Inexistente -,,,99,NINGUNO,99,NINGUNO
228,Lomas del Refugio,2B,-Inexistente-,,,99,NINGUNO,99,NINGUNO
229,Lomas del Seminario Norte,5A,Inexistente,,,99,NINGUNO,99,NINGUNO
232,Lomas Universidad,5A,Cancha de Voley Ball,,G. Leroux y Rosario Castellanos,2,Cancha Individual,1,Público
233,"Maestros, Los",1B,-Inexistente-,,,99,NINGUNO,99,NINGUNO
235,"Mante, El",8,Cancha de Futbol Rapido y espacio recreativo al lado de esta,Consejo,Esquina calle Michoacán y calle Sonora,2,Cancha Individual,1,Público
236,Marcelino García Barragán,3,Cancha,Consejo,"San Miguel frente al Nº 1339, a un costado de la Escuela",2,Cancha Individual,1,Público
237,Mariano Otero,7,Cancha,Consejo,"Manzana Nº 63 entre las calles de Paseo de la Primavera, Zafiro Coral y Mirador del Valle",2,Cancha Individual,1,Público
238,"Martinica, La",2A,Cancha de basket y fútbol rápido,,2 de abril y A. Barajas,2,Cancha Individual,1,Público
238,"Martinica, La",2A,Cancha,Consejo,Pino Frente al Nº 28 entre Morelos y Nogal (A un lado del Centro de Salud),2,Cancha Individual,1,Público
239,Mesa Colorada ,RN,-Inexistente-,,,99,NINGUNO,99,NINGUNO
240,Mesa Colorada Poniente,2B,Cancha de Futbol rápido,,Calle Delli y Chichen Itza,2,Cancha Individual,1,Público
241,Mesa de los Ocotes,2B,-Inexistente-,,,99,NINGUNO,99,NINGUNO
242,Mezquitán,2B,-Inexistente-,,,99,NINGUNO,99,NINGUNO
243,Miguel de la Madrid,8,Unidad Deportiva,COMUDE,Lopez Portillo y Copositores,1,Unidad Deportiva,1,Público
244,Miguel Hidalgo,2B,Cancha,,Mariano Jiménez y Agua Fría,2,Cancha Individual,1,Público
245,Milpillas Mesa de San Juan,RS,Inexistente,,,99,NINGUNO,99,NINGUNO
247,Mirador de San Isidro (ó Mirador de la Cañada),3,Inexistente,,,99,NINGUNO,99,NINGUNO
248,Mirador del Sol,6,Parque Juan Rulfo,Junta de Colonos,Shamash y Labna,1,Unidad Deportiva,1,Público
249,Mirador Escondido,2B,-Inexistente-,,,99,NINGUNO,99,NINGUNO
250,Miramar,7,"Módulo Deportivo ""Miramar"" ",Consejo,"Puerto Manzanillo, Puerto Batabampo, Puerto Tampico y Puerto México (Dividido en 5 fracciones)",1,Unidad Deportiva,1,Público
251,Misión Jardines,4,Inexistente,,,99,NINGUNO,99,NINGUNO
252,Misión de San Isidro (ó Misión del Bosque),3,COMUDE,H: Ayuntamiento,Circuito Misión del Bosque y Misión Santa Elena,1,Unidad Deportiva,1,Público
254,Molino del Salvador,2B,-Inexistente-,,,99,NINGUNO,99,NINGUNO
255,Nextipac,RS,Lienzo Charro,,Leona Vicario,,Desconocido,2,Privado
255,Nextipac,RS,Cancha de Basquetball,,Plaza Cívica,2,Cancha Individual,1,Público
255,Nextipac,RS,Cancha de Fútbol Deportivo Azteca,,Calle Deportivo Azteca S/N,2,Cancha Individual,1,Público
258,Nueva Primavera (ó Colli Nueva Primavera),6,Cancha de Fútbol Rápido,Colonos,Andador Nueva Primavera y Banderas,2,Cancha Individual,1,Público
259,Nuevo México,4,Unidad Deportiva,Consejo,"2 de Febrero frente al Nº 3936, entre Guadalajara y Jalostotitlán",1,Unidad Deportiva,1,Público
260,Nuevo Vergel,2A,Cancha,Consejo,Carpinteros frente al Nº 313,2,Cancha Individual,1,Público
260,Nuevo Vergel,2A,Canchas de fútbol y básquetbol,,Carpinteros y Emiliano Zapata,2,Cancha Individual,1,Público
261,Palmira,8,Cancha de Fútbol,,Av. Cajetes y San José,2,Cancha Individual,1,Público
262,"Palmita, La",1B,-Inexistente-,,,99,NINGUNO,99,NINGUNO
263,Palo Gordo,RS,Cancha de futbol,,Conocido (Junto a la iglesia),2,Cancha Individual,1,Público
264,"Paraíso, El (ó Paraísos de la Seattle)",1B,"Unidad Deportiva, ""Los Paraísos""",COMUDE,San Isidro y Manuel M. Tortuledo,1,Unidad Deportiva,1,Público
266,Paraísos del Colli,7,Inexistente,,,99,NINGUNO,99,NINGUNO
267,Paraíso Los Pinos,8,Inxistente,,,,Desconocido,,Desconocido
268,Parque Industrial Belenes Norte,1A,Inexistente,,,99,NINGUNO,99,NINGUNO
269,Parques de la Castellana,5B,Inexistente,,,99,NINGUNO,99,NINGUNO
