DECOMISOS,,,,,,,,,,,
VEGETAL VERDE (GRS.),,,,,,,,,,,
,,,,,,,,,,,
2004,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,27,42,28,26,19,22,,308,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,21,35,17,23,28,20,,,,,
,,,,,,,,,,,
2005,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,16,21,19,24,16,21,,252,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,28,29,27,12,20,19,,,,,
,,,,,,,,,,,
2006,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,26,22,21,25,22,20,,297,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,21,29,19,30,34,28,,,,,
,,,,,TOTAL    2004-2006,,,857,,,
,,,,,,,,,,,
2007,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,12,19,20,16,23,28,,251,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,25,23,22,16,17,30,,,,,
,,,,,,,,,,,
2008,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,11,19,19,24,19,36,,275,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,17,22,23,42,23,20,,,,,
,,,,,,,,,,,
2009,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,13,20,23,20,31,11,,248,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,29,17,28,28,14,14,,,234,,
,,,,,,,,,,,
,,,,,,,,,FALSE,,
ARMAS BLANCAS,,,,,,,,,,,
,,,,,,,,,,,
2001,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,59,47,47,43,60,54,,637,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,60,73,49,48,39,58,,,,,
,,,,,,,,,,,
2002,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,29,45,65,47,70,53,,725,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,45,89,54,73,73,82,,,,,
,,,,,,,,,,,
2003,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,79,28,66,75,67,82,,782,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,59,68,65,63,62,68,,,,,
,,,,,TOTAL 2001-2003,,,"2,144",,,
,,,,,,,,,,,
2004,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,72,73,104,84,141,74,,"1,118",,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,126,114,90,83,76,81,,,,,
,,,,,,,,,,,
2005,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,106,86,136,104,118,89,,"1,260",,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,101,120,117,83,97,103,,,,,
,,,,,,,,,,,
2006,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,139,122,159,128,120,120,,"1,299",,,
